Category,Item_Variant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16
Nasi Goreng,Nasi Goreng Teri Medan,0,0,0,0,0,0,0,0,0,0,0,0,2.206461781,2.880354505,3.47107438,4.004854369
Nasi Goreng,Nasi Goreng Tradisional,2.877070619,2.483900644,3.344481605,3.042596349,3.536184211,2.262016965,3.2,2.76285495,2.955665025,3.317535545,3.716216216,3.49378882,3.624901497,3.17577548,2.231404959,2.427184466
Non-Coffee,Banana Split,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221565731,0.082644628,0
Non-Coffee,Bandrek,0,0,0,0,0,0,0.2,0,0.689655172,1.184834123,1.097972973,0.698757764,0.394011032,0.443131462,0.661157025,0.36407767
Non-Coffee,Beauty on The Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147710487,0.247933884,0.242718447
Non-Coffee,Chocolate Cold,0,0,0,0,0,0.282752121,0.7,0.460475825,0.492610837,0.315955766,0.168918919,0.854037267,0.078802206,0,0,0
Non-Coffee,Jeruk,0.523103749,0.643974241,0.891861761,1.21703854,0.575657895,0.471253534,0.6,0.537221796,0.492610837,0.631911532,0.760135135,0.621118012,0.394011032,1.329394387,0.826446281,0.242718447
Non-Coffee,Matcha Thai Tea,0.871839582,0.643974241,0.668896321,0.60851927,0.411184211,0.377002828,0.4,0.460475825,0.985221675,0.078988942,0.506756757,0.465838509,0.315208826,0.295420975,0.165289256,0.606796117
Non-Coffee,Pure chocolate dark,0,0,0,0,0,0,0,0,0,0,0,0,0.315208826,0,0,0
Non-Coffee,Susu Jahe,0,0,0,0,0,0.754005655,0.5,0.767459708,0.985221675,0.789889415,1.013513514,0.931677019,1.10323089,1.1816839,0.909090909,0.36407767
Non-Coffee,Taro Blended,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082644628,0
Non-Coffee,Thai Tea,1.743679163,1.287948482,1.337792642,1.419878296,1.726973684,1.979264844,2.1,1.688411358,1.57635468,1.263823065,1.097972973,1.552795031,1.260835303,1.403249631,1.239669421,1.213592233
Non-Coffee,Thai Tea GrassJelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664697194,0,0.606796117
Pasta,Aglio Olio,0.95902354,1.195952162,0.668896321,1.724137931,1.233552632,1.602262017,0.9,1.611665388,1.773399015,0.552922591,1.097972973,1.552795031,2.600472813,1.698670606,1.487603306,1.09223301
Pasta,Bolognaise,1.133391456,1.195952162,0.557413601,1.014198783,0.411184211,1.225259189,0.6,0.92095165,0.591133005,1.342812006,1.942567568,1.164596273,1.10323089,0.516986706,0.578512397,0.606796117
Pasta,Carbonara,1.743679163,1.931922723,1.114827202,1.419878296,1.233552632,2.073515551,0.7,1.304681504,2.266009852,1.737756714,1.689189189,1.708074534,2.364066194,1.624815362,1.239669421,1.577669903
Rice Bowl,RB Chicken BBQ,1.569311247,1.195952162,1.672240803,1.419878296,0.986842105,1.131008483,1.3,0.690713738,1.57635468,1.579778831,1.182432432,1.00931677,1.654846336,0.369276219,0,0
Rice Bowl,RB Chicken Blackpepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073855244,0,0
Rice Bowl,RB Chicken Chops Sauce BBQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073855244,0,0.242718447
