Category,Item_Variant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16
Rice Bowl,RB Chicken Wings Sauce Bolognaise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24
Rice Bowl,RB Chicken Wings Sauce Carbonara,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0
Rice Bowl,RB Chicken Wings Sauce Teriyaki,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.12
Smoothies,Avocado Smoothies,0,0.09,0.11,0.2,0,0,0,0.08,0.3,0.24,0.17,0,0.08,0.07,0,0.24
Smoothies,Banana Smoothies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0
Smoothies,Mango Smoothies,0.7,0.55,0.33,0.41,0.49,0.38,0.1,0.08,0.2,0.16,0.17,0,0.32,0.15,0.41,0.36
Smoothies,Melon,0,0.09,0,0.1,0.08,0,0,0,0.1,0,0,0,0,0,0,0
Smoothies,Orange Smoothies,0,0.09,0,0,0.16,0,0,0.23,0.3,0.08,0.17,0,0.08,0.07,0.08,0.12
Smoothies,Strawberry Smoothies,0.26,0.37,0.11,0.51,0.58,0.28,0.6,0,0.1,0.08,0,0,0.24,0.15,0.25,0.24
Snack,Bakso Cuanki,0,0,0,0,0,0.75,1.6,0.46,1.18,0.95,0.76,1.48,0.16,0.37,0,0
Snack,Chicken Wings,0.87,1.47,0.78,1.32,1.15,0.85,1.4,0.84,0.79,1.11,0.68,1.79,0.95,1.18,1.07,0.61
Snack,Holiday Pancakes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.49
Snack,Onion Rings,0.78,0.46,0.67,1.01,0.66,0.57,0.7,0.77,0.69,0.63,0.84,0.7,1.1,1.18,1.07,1.09
Snack,Pisang Cokelat Lumer,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snack,Rujak Cireng,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.58,1.33
Snack,Sausage BBQ,0.09,0,0.22,0.2,0.99,0.57,0.1,0.23,0.59,0.32,0.25,0.23,0.16,1.03,0.58,0.73
