Expected Annual Damage,Expected Evacuation Costs,Expected Number of Deaths,Total Construction Costs
360123154.2764385,0.0,0.3919879023709503,0.0
63294632.04589827,0.0,0.08237556605327138,0.0
377689689.0883189,0.0,0.5322002931617911,0.0
798662273.4240272,0.0,0.955316870432973,0.0
295379684.59907407,0.0,0.2903390367807977,0.0
767856196.9610704,0.0,1.2766960876769744,0.0
397888204.4037982,0.0,0.6141942515670518,0.0
80443524.77503476,0.0,0.1234090891018349,0.0
453699976.45669794,0.0,0.5106077297828192,0.0
78705672.67305624,0.0,0.13695681542485322,0.0
74982009.51687688,0.0,0.07713103241785167,0.0
684782399.074415,0.0,1.229344926250552,0.0
231783558.62979233,0.0,0.2948703040434155,0.0
584798992.5202413,0.0,1.3633879045631532,0.0
618681096.8150203,0.0,1.3008627127597578,0.0
1313841555.116321,0.0,1.865552094879012,0.0
760822542.0746219,0.0,1.2064861268080989,0.0
1081067273.4014592,0.0,0.866617471167448,0.0
1259326250.6130655,0.0,2.088951589396483,0.0
238272777.98056462,0.0,0.3826991988067184,0.0
750933687.0918335,0.0,1.285961112570491,0.0
138991340.19845045,0.0,0.17816256623129573,0.0
1654276562.2749949,0.0,1.435863008887612,0.0
1387269232.9358542,0.0,1.0522873921336053,0.0
621135822.53192,0.0,1.2835213892351354,0.0
436551464.71488184,0.0,0.5805416605416602,0.0
284215396.1833419,0.0,0.27847654408805755,0.0
583320317.5619786,0.0,1.2375277075186988,0.0
632074082.5385952,0.0,0.671342691619347,0.0
725502770.4620527,0.0,0.8838504094754012,0.0
109219794.9472894,0.0,0.1323576771016579,0.0
2001224539.1574776,0.0,1.3307760335122674,0.0
47400767.29481895,0.0,0.08028531258952899,0.0
62565606.70137215,0.0,0.07337394328592702,0.0
834862972.3367729,0.0,1.080096627963516,0.0
768200540.5570155,0.0,1.3920391074259548,0.0
247347362.3461331,0.0,0.28827174070784545,0.0
844308701.015646,0.0,0.9601232410725578,0.0
809846045.3444926,0.0,0.7188838244054079,0.0
480856332.5546339,0.0,0.44925888331953634,0.0
716320829.2857791,0.0,1.260690165809959,0.0
697132791.6255205,0.0,1.238297419043818,0.0
1255714861.528205,0.0,0.7894888172744877,0.0
1049771940.8316556,0.0,1.2257025552418401,0.0
653616322.295319,0.0,0.6992896849878637,0.0
348955136.35859,0.0,0.34564226887317556,0.0
1147361053.6505146,0.0,1.9235001348830971,0.0
327114202.89763796,0.0,0.31355105054149696,0.0
275889859.14547235,0.0,0.4120963944424111,0.0
26678481.880738568,0.0,0.05288707938771531,0.0
109004445.3421892,0.0,0.0993933745252407,0.0
178620814.13765785,0.0,0.1673759757686787,0.0
1055149185.6925434,0.0,0.8586506694787828,0.0
162488745.8612503,0.0,0.30577114596062044,0.0
744831761.1898787,0.0,1.0720727525538856,0.0
191108626.55673367,0.0,0.16099726426768188,0.0
333615864.6132786,0.0,0.2591736752605551,0.0
342696843.3585154,0.0,0.44839340338090117,0.0
92505267.54428625,0.0,0.14771341723951553,0.0
871591666.4978333,0.0,0.8996971189897207,0.0
179930964.82702488,0.0,0.3466472850431156,0.0
222754843.79317367,0.0,0.27833711820588286,0.0
831829234.8699703,0.0,1.1722149470834107,0.0
910050448.783526,0.0,1.243209806883193,0.0
223978487.7377674,0.0,0.2348574468429736,0.0
226340180.1681679,0.0,0.1824389251087662,0.0
609164704.0232189,0.0,1.2748653131557173,0.0
845871636.3479545,0.0,0.7916738025653376,0.0
295400310.89996475,0.0,0.4131930832040082,0.0
865617905.8405637,0.0,0.8043804712706791,0.0
288418389.8768041,0.0,0.6391606488861702,0.0
